carrierName,carrierCode
피지 에어웨이,FJ
핀 에어,AY
파이어플라이,FY
퍼스트 에어,7F
FITS 항공(FITS Air),8D
플레어항공,F8
플리트 에어 인터내셔널,FRF
플렉스플라이트,W2
플라이트링크화물항공,FLZ
플라이 에어41항공,BER
항상 이동,8W
플라이 앙골라,EQ
플라이 아르나,G6
플라이 아트,FLB
플라이 바그다드,IF
플라이 강원,4V
플라이진나,9P
플라이 요르단,F0
플라이미드아프리카,8G
플라이투스카이,F6
플라이 아자리야,F3
플라이 빅,S9
플라이본디,FO
플라이 다마스,4J
플라이두바이,FZ
플라이 이집트,FT
플라이글로벌,FGG
플라이 GTA 항공,SX
플라이 미,VP
플라이몬트세라트,5M
플라이나스,XY
플라이 원,5F
플라이원 아르메니아,3F
플라이 펠리칸,FP
플라이페르시아 항공,FPI
플라이사페어,FA
포춘에어,FOA
프리버드 항공,FH
프리버드 유럽,MI
프리덤 에어 익스프레스,4F
프리덤 II,FA
프라이터러너 익스프레스,FRG
프랑스 비,BF
프론티어항공,F9
후지 드림,JH
복주 항공,FU
게인젯항공,GNJ
갈레어 항공,G2
갈리스타 몰타 항공,GT
감마 에비에이션,GSH
가루다인도네시아 항공,GA
GB 에어링크,GBX
GCA 항공,9A
징기스칸 항공,9D
그루지아항공,A9
독일항공,ZQ
겟젯 항공,GW
글로벌 아프리카 에비에이션,Z5
글로벌 에어,DMJ
글로벌 항공,5S
글로벌에비에이션,GE
글러벌 크로싱항공,G6
고 퍼스트,G8
고투스카이,6G
고젯항공,G7
골 항공,G3
골든 미얀마 항공,Y5
골리아프에어,GLE
골리차 항공,GOR
GP 항공,IV
그랜드캐년 항공,CVU
그랜드 차이나 에어,CN
그랜드 크루 항공사,GCA
그랜트 항공,GV
그레이터 베이항공,HB
그린아프리카항공,Q9
그린플래그항공,GNF
그뤼폰 에어,GRF
광시 베이부 걸프 항공,GX
기니 항공,W24
걸프 카라비안카고,IF
걸프항공,GF
걸리버항공,G2
한에어,H1
중국 하이난 항공,HU
아이티 항공,H5
항저우 YTO 익스프레스 항공,YG
아버에어수상비행기,YB
하와이안항공,HA
허베이 항공 (하북 항공),NS
헤브리디언 에어 서비스,HBR
모나코 항공 헬리콥터,YO
헬리콥터 델 수레스테,UV
헬리제트 인터내셔널,JB
헬로우 항공,H3
헬베티항공,2L
헤스톤 항공,HN
하이에어,4H
하이플라이,5K
Hi 플라이 몰타,3L
하이버니언항공,HG
히말라야 항공사,H9
힌터렌드 에비에이션,OI
하이스카이(몰도바),H7
하이스카이(루마니아),H4
홍콩 익스프레스,UO
홋카이도 에어 시스템,NTH
홀리데이 유럽,5Q
홍콩 화물항공,RH
홍콩 항공,HX
HOP,A5
호라이즌 항공,QX
휴모항공,USW
훈누 항공,MR
스위프트 항공,Q7
IBC 항공,II
이베리아항공,IB
이베리아 익스프레스,I2
이베리아 리저널 에어 노스트룸,YW
이베로젯,E9
이벡스항공,FW
아이봄 항공,QI
이카르 에어,RAC
이카로,ICD
아이슬란드항공,FI
아이플라이,F7
일리아나에어택시,V8
아이엠디항공,IMD
인디아 원 에어,I7
인디고 항공,6E
인도네시아 에어트랜스포터,IDA
에어아시아 인도네시아,QZ
국제공항 항공,IIA
인터 케르비안 항공사,JY
이르에어로,IO
이란항공,IR
이란 에어투어,B9
이란 아세만항공,EP
이라크게이트,IGC
이라크에어웨이,IA
아일랜드 에어 익스프레스,I4
아일랜드 에어 서비스,2O
아일즈오브실리스카이버스,IOS
ITA항공,AZ
코트디부아르항공운송,IVN
이즈하비아,I8
잠보젯,JM
일본항공 커뮤터,JC
