ID,ICAO,TYPE,AIRPORT_NAME,LAT,LNG,CONTINENT_CODE,CONTINENT,COUNTRY_CODE,COUNTRY,CITY,IATA
31522,URKG,medium_airport,겔렌즈지크 공항,44.58209263,38.01248074,EU,유럽,RU,러시아,Gelendzhik,GDZ
6512,URKK,medium_airport,파쉬코브스키 공항,45.03469849,39.17050171,EU,유럽,RU,러시아,Krasnodar,KRR
6513,URML,medium_airport,우이타쉬 공항,42.816799,47.652302,EU,유럽,RU,러시아,Makhachkala,MCX
6514,URMM,medium_airport,미네랄예 보디 공항,44.22510147,43.08190155,EU,유럽,RU,러시아,Mineralnyye Vody,MRV
6515,URMN,medium_airport,날칙 공항,43.51290131,43.63660049,EU,유럽,RU,러시아,Nalchik,NAL
6516,URMO,medium_airport,베슬란 공항,43.205101,44.606602,EU,유럽,RU,러시아,Beslan,OGZ
43689,URMS,medium_airport,마가스 공항,43.323268,45.012568,AS,아시아,RU,러시아,Sunzha,IGT
6517,URMT,medium_airport,쉬파코프스키에 공항,45.10919952,42.1128006,EU,유럽,RU,러시아,Stavropol,STW
326363,URRP,large_airport,로스토프나도누 공항,47.493888,39.924722,EU,유럽,RU,러시아,Rostov-on-Don,ROV
44865,URRT,medium_airport,타간로그 공항,47.1983333,38.8491667,EU,유럽,RU,러시아,Taganrog,TGK
6519,URSS,large_airport,아들라 소치 국제공항,43.449902,39.9566,EU,유럽,RU,러시아,Sochi,AER
6520,URWA,medium_airport,아스트라한 공항,46.282843,48.010511,AS,아시아,RU,러시아,Astrakhan,ASF
6521,URWI,medium_airport,엘리스타 공항,46.37390137,44.33089828,EU,유럽,RU,러시아,Elista,ESL
6522,URWW,medium_airport,굼락 공항,48.78250122,44.34550095,EU,유럽,RU,러시아,Volgograd,VOG
324440,US-0571,medium_airport,윌리 스톤 바신 국제 공항,48.258387,-103.748797,NA,북아메리카,US,미국,Williston,XWA
506827,US-7560,small_airport,뉴톡 공항,60.810278,-164.449444,NA,북아메리카,US,미국,Mertarvik,WWT
26370,USCC,medium_airport,발란디노 공항,55.305801,61.5033,EU,유럽,RU,러시아,Chelyabinsk,CEK
26371,USCM,medium_airport,마그니토고르스크 공항,53.39310074,58.75569916,EU,유럽,RU,러시아,Magnitogorsk,MQF
327554,USDA,medium_airport,산버나디노 국제공항,71.219167,72.052222,AS,아시아,RU,러시아,Sabetta,SBT
343470,USDB,medium_airport,Bovanenkovo Airport,70.315278,68.333611,AS,아시아,RU,러시아,Bovanenkovo,BVJ
26372,USDD,medium_airport,살레하르트 공항,66.59079742,66.61100006,AS,아시아,RU,러시아,Salekhard,SLY
26373,USHH,medium_airport,한티-만시스크 공항,61.0285,69.086098,AS,아시아,RU,러시아,Khanty-Mansiysk,HMA
42944,USHN,medium_airport,냥꾼 공항,62.110001,65.614998,EU,유럽,RU,러시아,Nyagan,NYA
32554,USHS,medium_airport,소베츠키 공항,61.32662201,63.60191345,AS,아시아,RU,러시아,Sovetskiy,OVS
32548,USHU,medium_airport,우레이 공항,60.103298,64.826698,AS,아시아,RU,러시아,Uray,URJ
43692,USHY,medium_airport,벨로스타크 공항,63.686901,66.698601,EU,유럽,RU,러시아,Beloyarsk,EYK
31670,USII,medium_airport,이제프스크 공항,56.8280983,53.45750046,EU,유럽,RU,러시아,Izhevsk,IJK
42945,USKK,medium_airport,키로프 공항,58.503883,49.347831,EU,유럽,RU,러시아,Kirov,KVX
35175,USMM,medium_airport,나임 공항,65.48090363,72.69889832,AS,아시아,RU,러시아,Nadym,NYM
32057,USMU,medium_airport,노비 우렝고이 공항,66.06939697,76.52030182,AS,아시아,RU,러시아,Novy Urengoy,NUX
26374,USNN,medium_airport,니즈네바토브스크 공항,60.949299,76.483597,AS,아시아,RU,러시아,Nizhnevartovsk,NJC
26375,USPP,medium_airport,볼쇼이 사비노 공항,57.914501,56.021198,EU,유럽,RU,러시아,Perm,PEE
26376,USRK,medium_airport,코갤름 공항,62.19039917,74.53379822,AS,아시아,RU,러시아,Kogalym,KGP
42943,USRN,medium_airport,Nefteyugansk Airport,61.108299,72.650002,AS,아시아,RU,러시아,Nefteyugansk,NFG
35176,USRO,medium_airport,노야브스크 공항,63.18330002,75.26999664,AS,아시아,RU,러시아,Noyabrsk,NOJ
26377,USRR,medium_airport,수르것 공항,61.34370041,73.40180206,AS,아시아,RU,러시아,Surgut,SGC
26378,USSS,large_airport,콜트소보 국제공항 ,56.74309921,60.80270004,AS,아시아,RU,러시아,Yekaterinburg,SVX
26379,USTR,medium_airport,로치노 공항,57.1896019,65.32430267,AS,아시아,RU,러시아,Tyumen,TJM
31773,USUU,medium_airport,쿠르간 공항,55.4753,65.415604,AS,아시아,RU,러시아,Kurgan,KRO
6393,UT1H,small_airport,발칸나바트 공항,39.480598,54.366001,AS,아시아,TM,투르크메니스탄,Balkanabat,BKN
26380,UTAA,large_airport,아쉬카밧 공항,37.986801,58.361,AS,아시아,TM,투르크메니스탄,Ashgabat,ASB
26381,UTAK,medium_airport,투크멘바시 공항,40.063301,53.007198,AS,아시아,TM,투르크메니스탄,Turkmenbashi,KRW
26382,UTAM,medium_airport,메어리 공항,37.62353,61.895668,AS,아시아,TM,투르크메니스탄,Mary,MYP
26383,UTAT,medium_airport,타쉬아즈 공항,41.759853,59.836149,AS,아시아,TM,투르크메니스탄,Daşoguz,TAZ
26384,UTAV,medium_airport,투크메나바트 공항,38.930662,63.563982,AS,아시아,TM,투르크메니스탄,Türkmenabat,CRZ
26385,UTDD,medium_airport,두샨베 공항,38.543301,68.824997,AS,아시아,TJ,타지키스탄,Dushanbe,DYU
6377,UTDK,medium_airport,쿨랴브 공항,37.98809814,69.80500031,AS,아시아,TJ,타지키스탄,Kulyab,TJU
26386,UTDL,medium_airport,쿠즈탄드 공항,40.215401,69.694702,AS,아시아,TJ,타지키스탄,Khujand,LBD
